,ID,发表时间,满意度,评论
0,16446690179,2021-10-11 13:25:46,5,屏幕效果非常艳丽，也是真惊呀 ④扦 左右都拿了。图视频清晰熟知。不愧是全高清屏，没出现画面拖拽。轻薄程度：非常轻薄，比我自己原来的E430好多了，女孩子拿在手里也很轻巧，可以轻松塞进文件袋。外形外观：外型很帅气优雅，给我感觉很适合办公用，给人信赖的感觉。其他特色：音响很棒，平时最喜欢听林俊杰的歌，高音也不会失真，赞！充电是typeC口的，非常方便小巧。外感谢京东快递，包装很结实，没有磕磕碰碰，大写的赞。轻巧便携，手感嘎嘎好，开机运行速度快，屏幕色彩饱满，很快完成激活，值得入手，京东物流绝对不会让你失望，感觉摸着很有质感。开机的人脸识别功能不错，免去了输密码的繁琐操作，嘿嘿?速度很快，几秒钟就进入桌面了。电脑的待机时间也较长，电充满了可以用好几个小时，感觉性价比不错，值得购买，真的是超值，做工非常棒，金属机身，键盘按上去很舒服，最惊喜的是Wi-Fi6，原本手机电脑连不上Wi-Fi网的书房，用这台E14，网速满格，网页秒开。值得购买，持续关注。
1,16265312573,2021-09-07 15:37:39,5,"屏幕效果：屏幕效果非常艳丽，不愧是全高清屏，没出现画面拖拽。
轻薄程度：非常轻薄，比我自己原来的E430好多了，女孩子拿在手里也很轻巧，可以轻松塞进文件袋。
外形外观：外型很帅气优雅，给我感觉很适合办公用，给人信赖的感觉。
其他特色：音响很棒，平时最喜欢听林俊杰的歌，高音也不会失真，赞！充电是typeC口的，非常方便小巧。
另外感谢京东快递，包装很结实，没有磕磕碰碰，大写的赞。"
2,16255929220,2021-09-05 18:21:17,5,"开学急着要，在家旁的京东体验实体店自提的，性价比超高，我的专业对电脑要求不高，游戏也不怎么打，平时学习上网课绝对是够的，银色金属的外观很高级很耐脏，在店里纠结了好久最终选了这一款。京东现在做的越来越好了，线下体验店做的真的超级棒，购物体验感非常好，赞赞赞
轻薄程度：有几个usb的情况下很薄了
其他特色：联想内置的应用商店和电脑管家很方便
外形外观：银色很好看很高级
散热性能：散热性能好
屏幕效果：很清晰
运行速度：快"
3,16276738143,2021-09-09 18:30:36,5,"凌晨下的单，下午就到了，速度超给力～
银色金属外壳，手感很好
进行开机设置了，使用了一下，很不错哦，性价比也很高"
4,16276517258,2021-09-09 17:41:07,5,喜欢好久了，真的很轻薄，很好看，包装特别好，包了两层，打开之后也很顺畅，不卡颜值杠杠滴，细节很到位，键盘也很灵敏，推荐给其他朋友了???
5,16266137992,2021-09-07 18:01:46,5,电脑已经收到，之前thinkpad X240使用接近7年，于昨天花屏废了，比X240外观没有大多少，但是显示大了很多，分辨率也很高，运行word和听歌2小时电池掉到68%，待机时间也还行，最好的就是大小写切换终于有灯啦，整体很满意，值得一提的是面部识别很快，很丝滑
6,16625978643,2021-11-12 11:13:10,5,"新买的小红点系列到货了，本次双十一最棒的礼物?
确认全新未拆封
开机顺畅，屏幕也很好。跟我前年买的小黑相比有了很大提升。
这个灰色很好看，同样是14寸的电脑，新机器要小一些，很适合带出去用。
灰常喜欢THINKPAD系列电脑，从大学开始就一直在用小红点系列，为信仰充值???"
7,16281307248,2021-09-10 14:26:35,5,已经是第二次买这款笔记本了，新款的这个银灰色很耐看，配置完全够用，买来给员工办公用的，外观时尚大气，电池也耐用，正常使用半天没啥问题，不错的选择！
8,16226515766,2021-08-31 09:49:11,5,轻巧便携，手感嘎嘎好，开机运行速度快，屏幕色彩饱满，很快完成激活，值得入手，京东物流绝对不会让你失望，昨日下单，今一早到货！
9,16273201716,2021-09-08 22:50:04,5,收到ThinkPad笔记本电脑，第一眼就很喜欢，感觉摸着很有质感。开机的人脸识别功能不错，免去了输密码的繁琐操作，嘿嘿?速度很快，几秒钟就进入桌面了。电脑的待机时间也较长，电充满了可以用好几个小时，感觉性价比不错，值得购买，赞赞赞???
10,16211812879,2021-08-28 11:27:37,5,半夜起来秒杀的，真的是超值，做工非常棒，金属机身，键盘按上去很舒服，最惊喜的是Wi-Fi6，原本手机电脑连不上Wi-Fi网的书房，用这台E14，网速满格，网页秒开。值得购买，持续关注。
11,16265906218,2021-09-07 17:20:55,5,昨天下单，今天送到，已经用上了！先为京东的物流赞一个。机子用着不错，没想到这么轻薄的本，音响效果还可以，超出了我的预期，挺好的。屏幕显示很清晰，色彩很丰富，亮度也OK，好几年没用这个系列了，ThinkPad的感觉又回来了。
12,16505438923,2021-10-23 12:26:16,5,已经多次多次购买联想品牌的笔记本电脑了，支持国货，国货雄起??这次是帮同事选购的本本，收到货的时候非常非常喜欢非常开心，做工真好，赞??，拿起来手感太好了，品质感太强了，外观简洁大方，很适合商务使用。经典小红点，实用性太强了，用了十几年，太熟悉的习惯了。充电适配器要是能升级为小块头的便携式就更完美了，期待。
13,15985415381,2021-07-15 00:41:51,5,"运行速度：超级快
屏幕效果：优秀
外形外观：超赞
轻薄程度：很轻薄，手感好
总体感觉非常好，预装的系统会引导操作，很简便。目前使用挺好，回头再多用用，期待一直出色。自营店网购电脑不用担心，"
14,16277143724,2021-09-09 20:12:49,5,联想电脑果然是大品牌，质量非常好，外观低调奢华，手感很不错，键盘操作起来很舒服，很喜欢。而且物流也很快，昨天下午下单今天就到了，服务很好，总之一句话很满意，还会回购的
15,15760089128,2021-06-04 15:57:50,3,电脑价格都不错，但没送小音箱哎。
16,14445475839,2020-07-22 11:49:24,5,电脑是20号下单的，21号到的，快递速度还是很快的。电脑包装完整，无破损。i5的处理器，开机速度，运行速度还可以。屏幕15.6寸的很适合玩游戏，看电影。用了一下午，电脑稍微有点发烫，可以接受的范围。外观是thinkpad的经典型。电脑很轻薄。对于价格来说，物超所值。
17,16626106219,2021-11-12 11:29:05,5,ThinkPad E14这款笔记本真的是紧俏货啊！双十一本地区一直显示无货，但是时刻关注着偶然间可以下单了一秒钟都没有预约立即下单！好开心，第二天就收到了包装简洁电脑质感很好，上午开机注册还送了正版office太棒了 一切准备就须！nice
18,16206937037,2021-08-27 14:51:15,5,配置杠杠的，本来还担心银色的质感没有黑色的好，现在看来是错了，银色金属要比黑色塑料好太多了，这个配置真是没的说，小巧轻便，开关机速度超级快
19,16166557478,2021-08-20 11:19:00,5,打开一看，外观非常漂亮，很有点儿高大上的感觉，运行速度很快，没有卡顿的现象，一次满意的购物之旅。
20,16282602620,2021-09-10 19:11:22,5,"运行速度：速度很快，打开软件几乎没有延迟，操作起来很顺手
屏幕效果：屏幕清晰可见，分辨率高，没有色差
散热性能：散热效果好，做了一下午PPT，依旧没有发热的痕迹，
外形外观：银色的外观彰显大气。简约，金属拉丝的外壳，独特的气质
轻薄程度：比我之前的电脑轻太多了，很适合办公用，
其他特色：比我预想的要上一个台阶，各个当面给呈现出不一样的风采"
21,16263428410,2021-09-07 09:32:13,5,这块电脑性能极佳，手感极好，键盘很舒适，接口也够用。另外，音响居然是哈曼的，太赞了?。总之，性价比极高。
22,15670735714,2021-05-14 11:19:47,5,"不错 一直喜欢在京东自营买东西 第一是快 第二是服务好 
机器很精致 外壳和色彩都不错 自带512ssd是三星的 运行流畅 开玩"
23,16259332097,2021-09-06 13:55:32,5,公司说给买电脑，让我选择，报销。找了好久，对thinkpad一直有好感，还有活动就买了这款笔记本电脑。总体下来感觉好舒服，按键很有质感，人脸识别解锁很方便。系统配置也很高。系统很快。是正版。
24,16168414045,2021-08-20 17:07:42,5,宝贝收到，外包装完好，电脑外观漂亮，值得拥有，用起速度很快，岁数大了很多功能不会用，只有慢慢学习。
25,16255393842,2021-09-05 16:32:48,5,笔记本很精致 外壳和色彩都不错，屏幕色彩饱满，激活顺利，固态硬盘配置开机运行速度很快，键盘按上去很舒服，设计很合理，最惊喜的是Wi-Fi6，速度更快，更高效。孩子学习&amp家里办公用，京东物流很速度，小县城早上下单，下午就到货！
26,16270960802,2021-09-08 15:32:29,5,"ThinkPad E14，非常有性价比电脑。升级到酷睿11代处理器支持红外摄像头，杜比音效，45Wh电池，重量1.6Kg。有Wi-Fi 6 AX201，以及蓝牙5.0，提供一年人工服务。
相比于上一代产品，其处理器有所升级，屏幕也是高色域，带DC调光，接口上也是不错的看，为未来留下了扩展空间。
非常棒的一款"
27,16238554583,2021-09-02 11:07:54,5,"运行速度：i5处理器办公速度完全够用
屏幕效果：全色域质量很高，之前还在纠结是否采用独立显卡，目前看情况够使了
散热性能：散热有待使用，配了支架应该问题不大
外形外观：真是?！金属磨砂质感好
轻薄程度：可以接受！"
28,16175364798,2021-08-21 23:22:23,5,一直很喜欢ThinkPad的笔记本电脑，这次买的是轻薄商务款，很实用，外观银色金属质面，手感很棒，处理器是十一代酷睿，日常办公处理起来是绰绰有余，开机后，几乎听不见风扇声，音质也不错哈曼的，开机速度也快，键盘打字很舒服，做工精细，总之是五星好评，物流速度也快。?
29,16222223570,2021-08-30 11:37:51,5,记得大学第一年买的人生第一部笔记本电脑，thinkpadedgee40，用了至少10年，现在因为工作的原因换个笔记本电脑，依然选择联想thinkpad，开箱一看，果然还是原滋原味的红点在那里，还是那样具备气质感，不得由衷而说，高端大气一直在线。thinkpadE14门店都没有货，还是京东官方店靠谱，物美价廉快速到手，给个?！
30,16269070274,2021-09-08 08:06:32,5,给女儿买的，笔记本已收到。款式颜色都很喜欢，开机速度也快是活动时间买的，真是物超所值！
31,16277272379,2021-09-09 20:45:57,5,"之前就是用的Thinkpad,大品牌值得信赖，这次依然没有失望，做工和外观都很满意，运行流畅，颜色特别喜欢，比经典黑好看很多，运行cad软件以及要求不是很高的游戏都是游刃有余的，整体非常满意。"
32,16199436923,2021-08-26 16:48:05,5,非常不错的一次体验，物流快，从下单到收货不到24小时。机子也很新，检查完没发现问题，已经开始用了起来。再用一段时间再来评论。
33,15869002559,2021-06-25 17:05:41,5,i7十一代处理器，反应速度超级快，非常满意。办公使用，散热很好，基本听不到风扇旋转。屏幕显示清晰，看着很舒服，还可以开启护眼模式，非常喜欢。外观简约大方，时尚美观，很轻薄，金属机身很有质感，看着很大方，还是喜欢的颜色喜欢的款式。键盘也很有质感，另外，性能稳定，运行流畅，还是熟悉的小红点设计，大大提高效率，很喜欢，赞！
34,16303609105,2021-09-14 18:36:26,5,首先，从外观上看，轻薄有质感，拿在手里很舒服。11代i7配16G内存，速度非常给力。播放视频无卡顿，解压缩文件也几乎看不到进度条。给力！
35,16369869395,2021-09-27 08:59:37,5,"质量很好，我很满意，下次有需要还来购买
运行速度：非常快
屏幕效果：很好
散热性能：很好
外形外观：很漂亮
轻薄程度：很合适
其他特色：非常好"
