,ID,发表时间,满意度,评论
0,16506946906,2021-10-23 17:15:58,5,京东快递就是给力，很快送达，看中这一款机器有一段时间了，看到直播有活动果断入手了，价格在4999基础上优惠了50元，本来就是今年最新的机器，没啥大优惠，但是附送了一堆诸如鼠标，鼠标垫、usb商务背包，贴膜，键盘保护膜等非常实用的物件，机器包装简单大气，到手之后按流程操作5分钟就搞定，屏幕清晰度高，开机速度超级快，自带喇叭也非常的立体，总而言之，是个价格买这个机器，商务完全够用，处理各种ps，ppt简直小case，自己下载了英雄联盟，运行起来也是完全没有压力，但是机器有点发烫，毕竟这就不是用来打游戏的，总结一下，服务好，刷剧舒服，听歌声音爽，办公轻松方便，非常的满意。补充一句：贴膜很好，但是如果你自己不是大神就别贴了，我搞了一个多小时，为了自己的强迫症，最后还是没有弄好，明天去家门口的荣耀专卖店找小哥哥帮忙了。
1,16609237698,2021-11-09 23:27:13,5,屏幕清晰，可视范围大，16.1寸很舒服；第一次用指纹电脑，解锁很快，感觉比手机灵敏；金属质感非常好，声音也不大，有独显依然轻薄，6199性价比超高，值得购买。
2,16061365781,2021-07-30 21:44:34,5,电脑运行速度很快，屏幕效果很好，外形也美观，非常不错，包装的非常严实，很薄充电速度快，客服也非常好，总是很耐心的解决问题，非常赞?
3,16595324302,2021-11-07 20:53:06,5,"外观非常好看！第一次买电脑感觉没有买错！！
也特别喜欢荣耀这个牌子！我手机也是荣耀滴！
用起来也非常流畅
运行速度：快
屏幕效果：清晰！分辨率高！
散热性能：耐热
外形外观：好看"
4,16513526849,2021-10-24 22:22:46,5,"荣耀MagicBook Pro,?轻薄机身方便携带，16.1寸屏幕1080P屏幕分辨率观感效果清晰，屏幕护眼模式暖心 ，F1和F2按键调节亮度方便。扬声器音质清晰无杂音，散热性能非常不错！处理器运行速度很快很流畅。总的来说荣耀笔记本体验非常好，首先，16寸大屏，外观超美，外表光滑流畅，而且还挺薄的，就是有点重；其次，屏幕很高清，看电影打游戏肯定是一场视觉盛宴；做工精细，运行流畅，散热很好，颜值特别好。好评！特别好！性价比高！"
5,16108153231,2021-08-08 20:51:54,5,"运行速度：速度没得说，十秒开机，毫无卡顿

屏幕效果：屏占比很高，非常适合追剧

散热性能：风扇基本静音，散热效果良好

外形外观：简约大方，金属机身手感不错

轻薄程度：很轻薄，方便携带"
6,15910202249,2021-07-02 16:22:34,5,非常好 看电影非常舒服 外观非常犀利 摄像头也非常Q 一次不错的购物体验 家里老人用特意买的大屏幕 平时老人上网打麻将 看电影 聊天都够用
7,16442114332,2021-10-10 13:03:51,5,手感丝滑，颜值帅的没话说，大 Logo很漂亮，键盘很舒适，配置也就不要我说了，买的都知道，同价位性价比最高的一款就属它了
8,16436248955,2021-10-09 10:23:00,5,"外形外观：简约不花里胡哨
轻薄程度：自我感觉薄度还可以，很轻
运行速度：开机很快
屏幕效果：屏幕饱满度很可撑满屏了
散热性能：还可以，风扇噪音很小
送了很多东西，用了几天没有出现什么问题，客服人很好哦"
9,16188086484,2021-08-24 19:26:06,5,笔记本轻薄，运行速度快，颜值不错，和华为手机多屏互动很方便。屏幕显示效果不错，音质也不错，发热现象不是很严重，噪音不大，满意。
10,16635160819,2021-11-13 16:28:38,5,"运行速度：速度挺快的。
屏幕效果：看起来很清晰，很不错。
散热性能：用了两个小时，没感觉有发热的感觉。
外形外观：很好看，看起来很有质感。非常喜欢。
轻薄程度：真的很薄。"
11,16449035664,2021-10-11 23:31:45,5,"大气，稳重，现代，具有一个产品意识和性能。
运行速度：快，开机快，打开软件快。
屏幕效果：好，色彩沉淀。
散热性能：好，金属材质。
外形外观：好，比某些塑料壳好太多。"
12,16642002831,2021-11-14 16:08:54,5,电脑收到了 反应速度很快  质量很好 外观漂亮 推荐购买！！笔记本轻薄，运行速度快，颜值不错，和华为手机多屏互动很方便。屏幕显示效果不错，音质也不错，发热现象不是很严重，噪音不大，满意。
13,14769123445,2020-10-18 21:08:21,5,"运行速度：非常快，比我以前用的电脑快太多了。
屏幕效果：非常满意，画面清晰，流畅
散热性能：散热非常好，声音小
外形外观：漂亮大方，好看，喜欢
轻薄程度：非常薄的笔记本电脑
其他特色：还有指纹，摄像头隐藏设计给力"
